"feature","type","domain","role","mnar_direction","designed_missingness","description"
"continuous_01","continuous","domain_01","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_02","continuous","domain_02","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_03","continuous","domain_03","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_04","continuous","domain_04","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_05","continuous","domain_05","informative",1,"MNAR-sensitive","Synthetic continuous feature"
"continuous_06","continuous","domain_06","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_07","continuous","domain_07","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_08","continuous","domain_08","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_09","continuous","domain_09","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_10","continuous","domain_10","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_11","continuous","domain_01","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_12","continuous","domain_02","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_13","continuous","domain_03","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_14","continuous","domain_04","informative",-1,"MNAR-sensitive","Synthetic continuous feature"
"continuous_15","continuous","domain_05","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_16","continuous","domain_06","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_17","continuous","domain_07","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_18","continuous","domain_08","informative",0,"MAR-like","Synthetic continuous feature"
"continuous_19","continuous","domain_09","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_20","continuous","domain_10","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_21","continuous","domain_01","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_22","continuous","domain_02","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_23","continuous","domain_03","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_24","continuous","domain_04","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_25","continuous","domain_05","noise_or_nuisance",1,"MNAR-sensitive","Synthetic continuous feature"
"continuous_26","continuous","domain_06","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_27","continuous","domain_07","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_28","continuous","domain_08","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_29","continuous","domain_09","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"continuous_30","continuous","domain_10","noise_or_nuisance",0,"MAR-like","Synthetic continuous feature"
"discrete_01","discrete","domain_01","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_02","discrete","domain_02","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_03","discrete","domain_03","informative",0,"MAR-like","Synthetic discrete feature"
"discrete_04","discrete","domain_04","informative",1,"MNAR-sensitive","Synthetic discrete feature"
"discrete_05","discrete","domain_05","informative",0,"MAR-like","Synthetic discrete feature"
