"feature","type","role","designed_missingness","missing_rate"
"continuous_01","continuous","informative","MAR-like",0.1175
"continuous_02","continuous","informative","MAR-like",0.05
"continuous_03","continuous","informative","MAR-like",0.095
"continuous_04","continuous","informative","MAR-like",0.0725
"continuous_05","continuous","informative","MNAR-sensitive",0.13
"continuous_06","continuous","informative","MAR-like",0.11
"continuous_07","continuous","informative","MAR-like",0.115
"continuous_08","continuous","informative","MAR-like",0.115
"continuous_09","continuous","informative","MAR-like",0.1375
"continuous_10","continuous","informative","MAR-like",0.1725
"continuous_11","continuous","informative","MAR-like",0.085
"continuous_12","continuous","informative","MAR-like",0.0925
"continuous_13","continuous","informative","MAR-like",0.0775
"continuous_14","continuous","informative","MNAR-sensitive",0.1075
"continuous_15","continuous","informative","MAR-like",0.1025
"continuous_16","continuous","informative","MAR-like",0.115
"continuous_17","continuous","informative","MAR-like",0.1275
"continuous_18","continuous","informative","MAR-like",0.1375
"continuous_19","continuous","noise_or_nuisance","MAR-like",0.1525
"continuous_20","continuous","noise_or_nuisance","MAR-like",0.1475
"continuous_21","continuous","noise_or_nuisance","MAR-like",0.0725
"continuous_22","continuous","noise_or_nuisance","MAR-like",0.06
"continuous_23","continuous","noise_or_nuisance","MAR-like",0.0875
"continuous_24","continuous","noise_or_nuisance","MAR-like",0.09
"continuous_25","continuous","noise_or_nuisance","MNAR-sensitive",0.1075
"continuous_26","continuous","noise_or_nuisance","MAR-like",0.11
"continuous_27","continuous","noise_or_nuisance","MAR-like",0.1025
"continuous_28","continuous","noise_or_nuisance","MAR-like",0.1225
"continuous_29","continuous","noise_or_nuisance","MAR-like",0.1425
"continuous_30","continuous","noise_or_nuisance","MAR-like",0.13
"discrete_01","discrete","informative","MAR-like",0.0725
"discrete_02","discrete","informative","MAR-like",0.0725
"discrete_03","discrete","informative","MAR-like",0.0775
"discrete_04","discrete","informative","MNAR-sensitive",0.105
"discrete_05","discrete","informative","MAR-like",0.0925
"discrete_06","discrete","informative","MAR-like",0.13
"discrete_07","discrete","informative","MAR-like",0.14
"discrete_08","discrete","informative","MAR-like",0.1075
"discrete_09","discrete","informative","MAR-like",0.13
"discrete_10","discrete","informative","MAR-like",0.1775
"discrete_11","discrete","noise_or_nuisance","MAR-like",0.095
"discrete_12","discrete","noise_or_nuisance","MAR-like",0.0725
"discrete_13","discrete","noise_or_nuisance","MNAR-sensitive",0.0975
"discrete_14","discrete","noise_or_nuisance","MAR-like",0.0825
"discrete_15","discrete","noise_or_nuisance","MAR-like",0.105
"discrete_16","discrete","noise_or_nuisance","MAR-like",0.1075
"discrete_17","discrete","noise_or_nuisance","MAR-like",0.1325
"discrete_18","discrete","noise_or_nuisance","MAR-like",0.14
