"feature","type","domain","role","mnar_direction","designed_missingness","description"
"continuous_01","continuous","continuous_01","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_02","continuous","continuous_02","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_03","continuous","continuous_03","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_04","continuous","continuous_04","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_05","continuous","continuous_05","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_06","continuous","continuous_06","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_07","continuous","continuous_07","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_08","continuous","continuous_08","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_09","continuous","continuous_09","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_10","continuous","continuous_10","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_11","continuous","continuous_11","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_12","continuous","continuous_12","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_13","continuous","continuous_13","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_14","continuous","continuous_14","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_15","continuous","continuous_15","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_16","continuous","continuous_16","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_17","continuous","continuous_17","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_18","continuous","continuous_18","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_19","continuous","continuous_19","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_20","continuous","continuous_20","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_21","continuous","continuous_21","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_22","continuous","continuous_22","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_23","continuous","continuous_23","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_24","continuous","continuous_24","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_25","continuous","continuous_25","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_26","continuous","continuous_26","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_27","continuous","continuous_27","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_28","continuous","continuous_28","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_29","continuous","continuous_29","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"continuous_30","continuous","continuous_30","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_01","discrete","discrete_01","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_02","discrete","discrete_02","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_03","discrete","discrete_03","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_04","discrete","discrete_04","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_05","discrete","discrete_05","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_06","discrete","discrete_06","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_07","discrete","discrete_07","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_08","discrete","discrete_08","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_09","discrete","discrete_09","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_10","discrete","discrete_10","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_11","discrete","discrete_11","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_12","discrete","discrete_12","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_13","discrete","discrete_13","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_14","discrete","discrete_14","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_15","discrete","discrete_15","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_16","discrete","discrete_16","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_17","discrete","discrete_17","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_18","discrete","discrete_18","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_19","discrete","discrete_19","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"discrete_20","discrete","discrete_20","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_01","ordinal","ordinal_01","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_02","ordinal","ordinal_02","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_03","ordinal","ordinal_03","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_04","ordinal","ordinal_04","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_05","ordinal","ordinal_05","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_06","ordinal","ordinal_06","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_07","ordinal","ordinal_07","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_08","ordinal","ordinal_08","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_09","ordinal","ordinal_09","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_10","ordinal","ordinal_10","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_11","ordinal","ordinal_11","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_12","ordinal","ordinal_12","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_13","ordinal","ordinal_13","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_14","ordinal","ordinal_14","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_15","ordinal","ordinal_15","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_16","ordinal","ordinal_16","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_17","ordinal","ordinal_17","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_18","ordinal","ordinal_18","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_19","ordinal","ordinal_19","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"ordinal_20","ordinal","ordinal_20","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_01","categorical","categorical_01","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_02","categorical","categorical_02","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_03","categorical","categorical_03","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_04","categorical","categorical_04","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_05","categorical","categorical_05","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_06","categorical","categorical_06","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_07","categorical","categorical_07","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_08","categorical","categorical_08","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_09","categorical","categorical_09","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_10","categorical","categorical_10","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_11","categorical","categorical_11","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_12","categorical","categorical_12","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_13","categorical","categorical_13","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_14","categorical","categorical_14","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
"categorical_15","categorical","categorical_15","unspecified",0,"not specified","Type inferred from CSV; review before final analysis"
