"feature","type","role","designed_missingness","missing_rate"
"continuous_01","continuous","unspecified","not specified",0.1175
"continuous_02","continuous","unspecified","not specified",0.05
"continuous_03","continuous","unspecified","not specified",0.095
"continuous_04","continuous","unspecified","not specified",0.0725
"continuous_05","continuous","unspecified","not specified",0.13
"continuous_06","continuous","unspecified","not specified",0.11
"continuous_07","continuous","unspecified","not specified",0.115
"continuous_08","continuous","unspecified","not specified",0.115
"continuous_09","continuous","unspecified","not specified",0.1375
"continuous_10","continuous","unspecified","not specified",0.1725
"continuous_11","continuous","unspecified","not specified",0.085
"continuous_12","continuous","unspecified","not specified",0.0925
"continuous_13","continuous","unspecified","not specified",0.0775
"continuous_14","continuous","unspecified","not specified",0.1075
"continuous_15","continuous","unspecified","not specified",0.1025
"continuous_16","continuous","unspecified","not specified",0.115
"continuous_17","continuous","unspecified","not specified",0.1275
"continuous_18","continuous","unspecified","not specified",0.1375
"continuous_19","continuous","unspecified","not specified",0.1525
"continuous_20","continuous","unspecified","not specified",0.1475
"continuous_21","continuous","unspecified","not specified",0.0725
"continuous_22","continuous","unspecified","not specified",0.06
"continuous_23","continuous","unspecified","not specified",0.0875
"continuous_24","continuous","unspecified","not specified",0.09
"continuous_25","continuous","unspecified","not specified",0.1075
"continuous_26","continuous","unspecified","not specified",0.11
"continuous_27","continuous","unspecified","not specified",0.1025
"continuous_28","continuous","unspecified","not specified",0.1225
"continuous_29","continuous","unspecified","not specified",0.1425
"continuous_30","continuous","unspecified","not specified",0.13
"discrete_01","discrete","unspecified","not specified",0.0725
"discrete_02","discrete","unspecified","not specified",0.0725
"discrete_03","discrete","unspecified","not specified",0.0775
"discrete_04","discrete","unspecified","not specified",0.105
"discrete_05","discrete","unspecified","not specified",0.0925
"discrete_06","discrete","unspecified","not specified",0.13
"discrete_07","discrete","unspecified","not specified",0.14
"discrete_08","discrete","unspecified","not specified",0.1075
"discrete_09","discrete","unspecified","not specified",0.13
"discrete_10","discrete","unspecified","not specified",0.1775
"discrete_11","discrete","unspecified","not specified",0.095
"discrete_12","discrete","unspecified","not specified",0.0725
"discrete_13","discrete","unspecified","not specified",0.0975
"discrete_14","discrete","unspecified","not specified",0.0825
"discrete_15","discrete","unspecified","not specified",0.105
"discrete_16","discrete","unspecified","not specified",0.1075
"discrete_17","discrete","unspecified","not specified",0.1325
"discrete_18","discrete","unspecified","not specified",0.14
"discrete_19","discrete","unspecified","not specified",0.1225
"discrete_20","discrete","unspecified","not specified",0.1325
"ordinal_01","ordinal","unspecified","not specified",0.0525
"ordinal_02","ordinal","unspecified","not specified",0.0675
"ordinal_03","ordinal","unspecified","not specified",0.12
"ordinal_04","ordinal","unspecified","not specified",0.115
"ordinal_05","ordinal","unspecified","not specified",0.0975
"ordinal_06","ordinal","unspecified","not specified",0.1125
"ordinal_07","ordinal","unspecified","not specified",0.075
"ordinal_08","ordinal","unspecified","not specified",0.1625
"ordinal_09","ordinal","unspecified","not specified",0.1275
"ordinal_10","ordinal","unspecified","not specified",0.1325
"ordinal_11","ordinal","unspecified","not specified",0.0775
"ordinal_12","ordinal","unspecified","not specified",0.1175
"ordinal_13","ordinal","unspecified","not specified",0.0925
"ordinal_14","ordinal","unspecified","not specified",0.12
"ordinal_15","ordinal","unspecified","not specified",0.0875
"ordinal_16","ordinal","unspecified","not specified",0.0825
"ordinal_17","ordinal","unspecified","not specified",0.12
"ordinal_18","ordinal","unspecified","not specified",0.1225
"ordinal_19","ordinal","unspecified","not specified",0.14
"ordinal_20","ordinal","unspecified","not specified",0.1225
"categorical_01","categorical","unspecified","not specified",0.065
"categorical_02","categorical","unspecified","not specified",0.1125
"categorical_03","categorical","unspecified","not specified",0.11
"categorical_04","categorical","unspecified","not specified",0.0875
"categorical_05","categorical","unspecified","not specified",0.0975
"categorical_06","categorical","unspecified","not specified",0.1075
"categorical_07","categorical","unspecified","not specified",0.1225
"categorical_08","categorical","unspecified","not specified",0.1275
"categorical_09","categorical","unspecified","not specified",0.1425
"categorical_10","categorical","unspecified","not specified",0.115
"categorical_11","categorical","unspecified","not specified",0.1025
"categorical_12","categorical","unspecified","not specified",0.0575
"categorical_13","categorical","unspecified","not specified",0.095
"categorical_14","categorical","unspecified","not specified",0.0625
"categorical_15","categorical","unspecified","not specified",0.085
"categorical_16","categorical","unspecified","not specified",0.1225
"categorical_17","categorical","unspecified","not specified",0.1025
"categorical_18","categorical","unspecified","not specified",0.1225
"categorical_19","categorical","unspecified","not specified",0.1125
"categorical_20","categorical","unspecified","not specified",0.175
"binary_01","binary","unspecified","not specified",0.0775
"binary_02","binary","unspecified","not specified",0.0625
"binary_03","binary","unspecified","not specified",0.11
"binary_04","binary","unspecified","not specified",0.1075
"binary_05","binary","unspecified","not specified",0.1125
"binary_06","binary","unspecified","not specified",0.13
"binary_07","binary","unspecified","not specified",0.125
"binary_08","binary","unspecified","not specified",0.155
"binary_09","binary","unspecified","not specified",0.1375
"binary_10","binary","unspecified","not specified",0.1825
